date,order_update,transaction_cancel,stock_status_update,order_delete,order_new,market_quote,transaction
20161003,54738.5,0,40581,11031.5,14441.5,4834811.5,407869
20161004,61960.5,0,40419,9525.5,12118,4798691,454822
20161005,67498,0,40140,13467.5,17443.5,5683421.5,473470.5
20161006,49319,0,39942,10100.5,13388.5,5229219,540750
20161007,46954,0,40104,7661.5,10712,4672939,468805
20161011,46704,0,40212,17356,23081.5,9397792,675712
20161012,44910,0,40072.5,13005,17766,6417540.5,537231
20161013,59776,0,40104,16341,22054.5,7879813,611249.5
20161014,45979,0,40198.5,9465,13853,6522001,486640
20161015,0,0,0,0,0,0,0
20161016,0,0,0,0,0,0,0
20161017,44374,0,40333.5,14312.5,18255.5,6557475.5,483276
20161018,43272,0,40369.5,14121.5,18603.5,6771275.5,532832.5
20161019,28484,0,40608,11190,14819,6003689,487951.5
20161020,27974,0,40873.5,10063.5,13485,5274008.5,470560.5
20161021,0,0,0,0,0,0,0
20161022,0,0,0,0,0,0,0
20161023,0,0,0,0,0,0,0
20161024,35012,0,40927.5,14810,18495,6813762.5,663292
20161025,44583,0,40752,9871.5,12549,5210382.5,488908.5
20161026,55009.5,0,40806,11650,15525.5,5394232.5,475546
20161027,64404.5,0,40864.5,16421.5,20611.5,6219239,504599
20161028,91979.5,0,40671,9968,15476.5,6238696.5,504519
20161029,0,0,0,0,0,0,0
20161030,0,0,0,0,0,0,0
20161031,76272.5,0,40266,6788,10742.5,5937145,485977
20161101,53496.5,0,39879,8407,12310,6152427.5,539519.5
20161102,50776,0,39870,6821.5,11165.5,5254375,463142
20161103,61849,0,39654,9826.5,14571.5,6382690.5,474983
20161104,55898,0,39600,6852,10962.5,5088663.5,444420.5
20161105,0,0,0,0,0,0,0
20161106,0,0,0,0,0,0,0
20161107,64026.5,0,39537,6027.5,8792.5,5760341.5,493965
20161108,54679.5,0,39591,5783,8769,5472400.5,470252.5
20161109,115002.5,0,39622.5,12732,16452,21955651.5,784721
20161110,68190.5,0,39051,6704,10215,6794928.5,574575
20161111,85440.5,0,39168,12035,15635,8051419.5,711906.5
20161112,0,0,0,0,0,0,0
20161113,0,0,0,0,0,0,0
20161114,60252.5,0,39321,8322.5,11341,6766163.5,652951
20161115,57110.5,0,39294,5162,8633.5,6351043.5,636239.5
20161116,49243.5,0,39613.5,4724.5,8062,5460782.5,587575
20161117,55705.5,0,39721.5,5962,9234,6071821,537028.5
20161118,56093.5,0,39987,7471,10744.5,6148684.5,509432.5
20161119,0,0,0,0,0,0,0
20161120,0,0,0,0,0,0,0
20161121,53797,0,40257,7589,9470.5,6435525,545877
20161122,34333,0,40315.5,6329.5,9196.5,6007674.5,602594
20161123,37479,0,40410,9479.5,12486.5,5355375.5,508365
20161124,50363,0,40540.5,10042,12813.5,5439209.5,438194.5
20161125,53979.5,0,40743,13029,16004.5,5645391.5,427009
20161126,0,0,0,0,0,0,0
20161127,0,0,0,0,0,0,0
20161128,44042,0,40707,12992,15883.5,6201080,570188.5
20161129,55016,0,40635,11545,15328.5,6057289.5,590782.5
20161130,65793,0,40455,9036.5,11660,5924985.5,633192
20161201,68282.5,0,40374,7846.5,10967,5877506.5,591212.5
20161202,63427,0,40410,8304.5,11872.5,5451473,608310.5
20161203,0,0,0,0,0,0,0
20161204,0,0,0,0,0,0,0
20161205,93213.5,0,40063.5,12076,15625.5,6780082.5,576601.5
20161206,58660.5,0,39582,7072,9625,5160340.5,520969
20161207,51270.5,0,39685.5,6089.5,9079,5561413,518986
20161208,53320.5,0,39744,6009.5,9827,5767364.5,575503
20161209,69809.5,0,39856.5,7699.5,11323,6636911.5,572060
20161210,0,0,0,0,0,0,0
20161211,0,0,0,0,0,0,0
20161212,92293.5,0,39784.5,11731.5,16139,7813290,585666
20161213,73216.5,0,39663,8018.5,11268,6406829.5,544536
20161214,63861.5,0,39627,6750.5,10125.5,6062480.5,518000
20161215,80350,0,39582,10094,13704.5,7369429.5,613233.5
20161216,74653.5,0,39438,7403.5,11460.5,6251136,552987.5
20161217,0,0,0,0,0,0,0
20161218,0,0,0,0,0,0,0
20161219,71096,0,39550.5,7041.5,9349.5,5680708,462227.5
20161220,58346,0,39136.5,7366.5,11625.5,5529397.5,450046
20161221,44704,0,39231,5692,8426,5092610.5,419784
20161222,51606,0,39352.5,5881,9647.5,5214157,429765.5
20161223,128877.5,0,39325.5,4685,7690.5,4903106.5,390762.5
20161224,0,0,0,0,0,0,0
20161225,0,0,0,0,0,0,0
20161226,0,0,0,0,0,0,0
20161227,0,0,0,0,0,0,0
20161228,49283.5,0,39343.5,5292,7851,5312346.5,433312
20161229,51026.5,0,39415.5,5733.5,9105.5,5785609.5,413309.5
20161230,50101.5,0,38916,5244.5,8678,5397754.5,404838
20161231,0,0,0,0,0,0,0
20170101,0,0,0,0,0,0,0
20170102,0,0,0,0,0,0,0
20170103,47106.5,0,38412,6449,9669.5,6118910.5,417214.5
20170104,50750.5,0,38497.5,5142.5,8659,6047573,456364.5
20170105,48554,0,38340,6361.5,9864.5,6356375,521651.5
20170106,42043,0,38227.5,4918.5,7556,6184861,475388
20170107,0,0,0,0,0,0,0
20170108,0,0,0,0,0,0,0
20170109,54322,0,38448,5122,8501.5,6529323.5,460277.5
20170110,45940,0,38578.5,4535,7786,6114387,529460
20170111,49540,0,38619,5874,9359.5,6151745,551578
20170112,60461,0,38844,5717,8743.5,6472142.5,510006
20170113,54497.5,0,39109.5,5703,8457.5,5380910.5,453994
20170114,0,0,0,0,0,0,0
20170115,0,0,0,0,0,0,0
20170116,67115.5,0,39177,7261,10132,6122767,431896
20170117,65982,0,39262.5,5568,8332.5,5310848,405565
20170118,45145,0,39555,5420,8204,5880186,535802.5
20170119,50349,0,39478.5,4434,6561.5,5287546,452704.5
